Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
IT,IT.ISPRA.AQD,NET.IT082A,STA.IT0706A,IT0706A,SPO.IT0706A_10_NDIR_1994-12-01_00:00:00,SPP.IT0706A_10_NDIR_1994-12-01_00:00:00,SAM.IT0706A_10_NDIR_1994-12-01_00:00:00,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.5710080000,mg/m3,2023-01-02 00:00:00 +01:00,2023-01-02 01:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT082A,STA.IT0706A,IT0706A,SPO.IT0706A_10_NDIR_1994-12-01_00:00:00,SPP.IT0706A_10_NDIR_1994-12-01_00:00:00,SAM.IT0706A_10_NDIR_1994-12-01_00:00:00,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.5311830000,mg/m3,2023-01-02 01:00:00 +01:00,2023-01-02 02:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT082A,STA.IT0706A,IT0706A,SPO.IT0706A_10_NDIR_1994-12-01_00:00:00,SPP.IT0706A_10_NDIR_1994-12-01_00:00:00,SAM.IT0706A_10_NDIR_1994-12-01_00:00:00,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.5212180000,mg/m3,2023-01-02 02:00:00 +01:00,2023-01-02 03:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT082A,STA.IT0706A,IT0706A,SPO.IT0706A_10_NDIR_1994-12-01_00:00:00,SPP.IT0706A_10_NDIR_1994-12-01_00:00:00,SAM.IT0706A_10_NDIR_1994-12-01_00:00:00,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.5064940000,mg/m3,2023-01-02 03:00:00 +01:00,2023-01-02 04:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT082A,STA.IT0706A,IT0706A,SPO.IT0706A_10_NDIR_1994-12-01_00:00:00,SPP.IT0706A_10_NDIR_1994-12-01_00:00:00,SAM.IT0706A_10_NDIR_1994-12-01_00:00:00,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.5190830000,mg/m3,2023-01-02 04:00:00 +01:00,2023-01-02 05:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT082A,STA.IT0706A,IT0706A,SPO.IT0706A_10_NDIR_1994-12-01_00:00:00,SPP.IT0706A_10_NDIR_1994-12-01_00:00:00,SAM.IT0706A_10_NDIR_1994-12-01_00:00:00,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.5253070000,mg/m3,2023-01-02 05:00:00 +01:00,2023-01-02 06:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT082A,STA.IT0706A,IT0706A,SPO.IT0706A_10_NDIR_1994-12-01_00:00:00,SPP.IT0706A_10_NDIR_1994-12-01_00:00:00,SAM.IT0706A_10_NDIR_1994-12-01_00:00:00,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.5402820000,mg/m3,2023-01-02 06:00:00 +01:00,2023-01-02 07:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT082A,STA.IT0706A,IT0706A,SPO.IT0706A_10_NDIR_1994-12-01_00:00:00,SPP.IT0706A_10_NDIR_1994-12-01_00:00:00,SAM.IT0706A_10_NDIR_1994-12-01_00:00:00,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.5581260000,mg/m3,2023-01-02 07:00:00 +01:00,2023-01-02 08:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT082A,STA.IT0706A,IT0706A,SPO.IT0706A_10_NDIR_1994-12-01_00:00:00,SPP.IT0706A_10_NDIR_1994-12-01_00:00:00,SAM.IT0706A_10_NDIR_1994-12-01_00:00:00,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.6034190000,mg/m3,2023-01-02 08:00:00 +01:00,2023-01-02 09:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT082A,STA.IT0706A,IT0706A,SPO.IT0706A_10_NDIR_1994-12-01_00:00:00,SPP.IT0706A_10_NDIR_1994-12-01_00:00:00,SAM.IT0706A_10_NDIR_1994-12-01_00:00:00,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.5952980000,mg/m3,2023-01-02 09:00:00 +01:00,2023-01-02 10:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT082A,STA.IT0706A,IT0706A,SPO.IT0706A_10_NDIR_1994-12-01_00:00:00,SPP.IT0706A_10_NDIR_1994-12-01_00:00:00,SAM.IT0706A_10_NDIR_1994-12-01_00:00:00,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.5862520000,mg/m3,2023-01-02 10:00:00 +01:00,2023-01-02 11:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT082A,STA.IT0706A,IT0706A,SPO.IT0706A_10_NDIR_1994-12-01_00:00:00,SPP.IT0706A_10_NDIR_1994-12-01_00:00:00,SAM.IT0706A_10_NDIR_1994-12-01_00:00:00,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.5910300000,mg/m3,2023-01-02 11:00:00 +01:00,2023-01-02 12:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT082A,STA.IT0706A,IT0706A,SPO.IT0706A_10_NDIR_1994-12-01_00:00:00,SPP.IT0706A_10_NDIR_1994-12-01_00:00:00,SAM.IT0706A_10_NDIR_1994-12-01_00:00:00,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.5827620000,mg/m3,2023-01-02 12:00:00 +01:00,2023-01-02 13:00:00 +01:00,3,3
