Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
IT,IT.ISPRA.AQD,NET.IT110A,STA.IT1650A,IT1650A,SPO.IT1650A_8_chemi_2003-12-09_00:00:00,SPP.IT1650A_8_chemi_2003-12-09_00:00:00,SAM.IT1650A_8_chemi_2003-12-09_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,27.5347770000,µg/m3,2024-01-01 00:00:00 +01:00,2024-01-01 01:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT110A,STA.IT1650A,IT1650A,SPO.IT1650A_8_chemi_2003-12-09_00:00:00,SPP.IT1650A_8_chemi_2003-12-09_00:00:00,SAM.IT1650A_8_chemi_2003-12-09_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,29.3595710000,µg/m3,2024-01-01 01:00:00 +01:00,2024-01-01 02:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT110A,STA.IT1650A,IT1650A,SPO.IT1650A_8_chemi_2003-12-09_00:00:00,SPP.IT1650A_8_chemi_2003-12-09_00:00:00,SAM.IT1650A_8_chemi_2003-12-09_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,30.4480130000,µg/m3,2024-01-01 02:00:00 +01:00,2024-01-01 03:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT110A,STA.IT1650A,IT1650A,SPO.IT1650A_8_chemi_2003-12-09_00:00:00,SPP.IT1650A_8_chemi_2003-12-09_00:00:00,SAM.IT1650A_8_chemi_2003-12-09_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,30.4145720000,µg/m3,2024-01-01 03:00:00 +01:00,2024-01-01 04:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT110A,STA.IT1650A,IT1650A,SPO.IT1650A_8_chemi_2003-12-09_00:00:00,SPP.IT1650A_8_chemi_2003-12-09_00:00:00,SAM.IT1650A_8_chemi_2003-12-09_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,26.9091130000,µg/m3,2024-01-01 04:00:00 +01:00,2024-01-01 05:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT110A,STA.IT1650A,IT1650A,SPO.IT1650A_8_chemi_2003-12-09_00:00:00,SPP.IT1650A_8_chemi_2003-12-09_00:00:00,SAM.IT1650A_8_chemi_2003-12-09_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,27.2109930000,µg/m3,2024-01-01 05:00:00 +01:00,2024-01-01 06:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT110A,STA.IT1650A,IT1650A,SPO.IT1650A_8_chemi_2003-12-09_00:00:00,SPP.IT1650A_8_chemi_2003-12-09_00:00:00,SAM.IT1650A_8_chemi_2003-12-09_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,26.4460750000,µg/m3,2024-01-01 06:00:00 +01:00,2024-01-01 07:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT110A,STA.IT1650A,IT1650A,SPO.IT1650A_8_chemi_2003-12-09_00:00:00,SPP.IT1650A_8_chemi_2003-12-09_00:00:00,SAM.IT1650A_8_chemi_2003-12-09_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,25.6814290000,µg/m3,2024-01-01 07:00:00 +01:00,2024-01-01 08:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT110A,STA.IT1650A,IT1650A,SPO.IT1650A_8_chemi_2003-12-09_00:00:00,SPP.IT1650A_8_chemi_2003-12-09_00:00:00,SAM.IT1650A_8_chemi_2003-12-09_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,23.9283730000,µg/m3,2024-01-01 08:00:00 +01:00,2024-01-01 09:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT110A,STA.IT1650A,IT1650A,SPO.IT1650A_8_chemi_2003-12-09_00:00:00,SPP.IT1650A_8_chemi_2003-12-09_00:00:00,SAM.IT1650A_8_chemi_2003-12-09_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,21.1441440000,µg/m3,2024-01-01 09:00:00 +01:00,2024-01-01 10:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT110A,STA.IT1650A,IT1650A,SPO.IT1650A_8_chemi_2003-12-09_00:00:00,SPP.IT1650A_8_chemi_2003-12-09_00:00:00,SAM.IT1650A_8_chemi_2003-12-09_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,19.7574100000,µg/m3,2024-01-01 10:00:00 +01:00,2024-01-01 11:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT110A,STA.IT1650A,IT1650A,SPO.IT1650A_8_chemi_2003-12-09_00:00:00,SPP.IT1650A_8_chemi_2003-12-09_00:00:00,SAM.IT1650A_8_chemi_2003-12-09_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,18.0905060000,µg/m3,2024-01-01 11:00:00 +01:00,2024-01-01 12:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT110A,STA.IT1650A,IT1650A,SPO.IT1650A_8_chemi_2003-12-09_00:00:00,SPP.IT1650A_8_chemi_2003-12-09_00:00:00,SAM.IT1650A_8_chemi_2003-12-09_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,15.2793030000,µg/m3,2024-01-01 12:00:00 +01:00,2024-01-01 13:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT110A,STA.IT1650A,IT1650A,SPO.IT1650A_8_chemi_2003-12-09_00:00:00,SPP.IT1650A_8_chemi_2003-12-09_00:00:00,SAM.IT1650A_8_chemi_2003-12-09_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,14.2747190000,µg/m3,2024-01-01 13:00:00 +01:00,2024-01-01 14:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT110A,STA.IT1650A,IT1650A,SPO.IT1650A_8_chemi_2003-12-09_00:00:00,SPP.IT1650A_8_chemi_2003-12-09_00:00:00,SAM.IT1650A_8_chemi_2003-12-09_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,22.8976480000,µg/m3,2024-01-01 14:00:00 +01:00,2024-01-01 15:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT110A,STA.IT1650A,IT1650A,SPO.IT1650A_8_chemi_2003-12-09_00:00:00,SPP.IT1650A_8_chemi_2003-12-09_00:00:00,SAM.IT1650A_8_chemi_2003-12-09_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,24.4361460000,µg/m3,2024-01-01 15:00:00 +01:00,2024-01-01 16:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT110A,STA.IT1650A,IT1650A,SPO.IT1650A_8_chemi_2003-12-09_00:00:00,SPP.IT1650A_8_chemi_2003-12-09_00:00:00,SAM.IT1650A_8_chemi_2003-12-09_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,27.7466500000,µg/m3,2024-01-01 16:00:00 +01:00,2024-01-01 17:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT110A,STA.IT1650A,IT1650A,SPO.IT1650A_8_chemi_2003-12-09_00:00:00,SPP.IT1650A_8_chemi_2003-12-09_00:00:00,SAM.IT1650A_8_chemi_2003-12-09_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,27.9705300000,µg/m3,2024-01-01 17:00:00 +01:00,2024-01-01 18:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT110A,STA.IT1650A,IT1650A,SPO.IT1650A_8_chemi_2003-12-09_00:00:00,SPP.IT1650A_8_chemi_2003-12-09_00:00:00,SAM.IT1650A_8_chemi_2003-12-09_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,26.0233750000,µg/m3,2024-01-01 18:00:00 +01:00,2024-01-01 19:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT110A,STA.IT1650A,IT1650A,SPO.IT1650A_8_chemi_2003-12-09_00:00:00,SPP.IT1650A_8_chemi_2003-12-09_00:00:00,SAM.IT1650A_8_chemi_2003-12-09_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,26.0372660000,µg/m3,2024-01-01 19:00:00 +01:00,2024-01-01 20:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT110A,STA.IT1650A,IT1650A,SPO.IT1650A_8_chemi_2003-12-09_00:00:00,SPP.IT1650A_8_chemi_2003-12-09_00:00:00,SAM.IT1650A_8_chemi_2003-12-09_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,23.8170450000,µg/m3,2024-01-01 20:00:00 +01:00,2024-01-01 21:00:00 +01:00,3,3
